t,x,y,z
43.696,2.60212375888,-0.978074898461,26.390032719
43.704,2.31575369284,-0.936736287798,25.8067096684
43.712,2.05559612626,-0.888610206046,25.2388367549
43.72,1.82009730552,-0.836095472883,24.6858188443
43.728,1.60763588251,-0.781150530701,24.1470368304
43.736,1.41656354592,-0.725348924532,23.6218760075
43.744,1.24523796476,-0.669931893045,23.1097444818
43.752,1.09204889031,-0.615857048483,22.6100841223
43.76,0.955438276406,-0.563842611114,22.1223761027
43.768,0.8339152522,-0.514407006441,21.6461426648
43.776,0.726066730033,-0.467903866115,21.1809463624
43.784,0.630564365165,-0.424552625005,20.7263877333
43.792,0.546168511449,-0.384464999805,20.2821020899
43.8,0.471729742658,-0.347667686069,19.8477559168
43.808,0.406188436647,-0.314121633298,19.4230432042
43.816,0.34857285102,-0.283738260997,19.0076819315
43.824,0.297996055641,-0.256392968869,18.6014108243
43.832,0.25365202986,-0.231936276408,18.2039864514
43.84,0.214811180889,-0.210202904167,17.8151806813
43.848,0.180815494264,-0.19101908336,17.4347784932
43.856,0.151073487537,-0.174208353679,17.0625761196
43.864,0.125055103847,-0.159596082487,16.6983794894
43.872,0.102286652476,-0.147012912548,16.3420029332
43.88,0.0823458783082,-0.136297320744,15.9932681176
43.888,0.064857221017,-0.127297447119,15.6520031708
43.896,0.0494873071459,-0.11987233227,15.3180419702
43.904,0.035940703796,-0.11389268167,14.9912235624
43.912,0.0239559508261,-0.109241257995,14.6713916928
43.92,0.0133018790447,-0.105812986902,14.3583944226
43.928,0.00377421443923,-0.103514847879,14.052083818
43.936,-0.00480753724624,-0.102265609671,13.752315695
43.944,-0.0126029355769,-0.1019954593,13.4589494109
43.952,-0.0197531932504,-0.102645564614,13.1718476905
43.96,-0.0263835219372,-0.104167602609,12.8908764823
43.968,-0.0326052527547,-0.106523279231,12.6159048365
43.976,-0.038517748722,-0.109683860917,12.3468048011
43.984,-0.0442101267714,-0.113629733609,12.0834513338
43.992,-0.0497628067474,-0.118350001289,11.8257222243
44.0,-0.0552489043947,-0.123842133077,11.5734980276
44.008,-0.060735484696,-0.130111665595,11.3266620056
44.016,-0.0662846911528,-0.13717196542,11.0851000757
44.024,-0.071954765737,-0.14504405508,10.8487007668
44.032,-0.0778009733416,-0.153756504985,10.6173551812
44.04,-0.0838764436423,-0.16334539301,10.3909569633
44.048,-0.0902329423891,-0.173854332967,10.1694022748
44.056,-0.0969215832816,-0.185334572995,9.95258977641
44.064,-0.103993490772,-0.197845164822,9.74042061748
44.072,-0.111500423395,-0.211453204972,9.53279843344
44.08,-0.119495366525,-0.226234149182,9.32962935275
44.088,-0.128033102882,-0.242272201645,9.13082201416
44.096,-0.137170768522,-0.259660781061,8.93628759591
